Line,Issue Type,Sentence,Suggested Fix
23,Missing punctuation,"Tableau 6. Temps Habituel (Mfūā: voler, to fly).	xvi","Add punctuation at the end, e.g., 'Tableau 6. Temps Habituel (Mfūā: voler, to fly).	xvi.'"
24,Missing punctuation,"Tableau 7. Passé Récent (Mfūā: voler, to fly).	xvi","Add punctuation at the end, e.g., 'Tableau 7. Passé Récent (Mfūā: voler, to fly).	xvi.'"
25,Missing punctuation,"Tableau 8. Passé (Mfūā: voler, to fly).	xvi","Add punctuation at the end, e.g., 'Tableau 8. Passé (Mfūā: voler, to fly).	xvi.'"
26,Missing punctuation,"Tableau 9. Futur Proche (Mfūā: voler, to fly).	xvii","Add punctuation at the end, e.g., 'Tableau 9. Futur Proche (Mfūā: voler, to fly).	xvii.'"
27,Missing punctuation,"Tableau 10. Futur Lointain (mfūā: voler, to fly).	xvii","Add punctuation at the end, e.g., 'Tableau 10. Futur Lointain (mfūā: voler, to fly).	xvii.'"
29,Missing punctuation,About Resulam,"Add punctuation at the end, e.g., 'About Resulam.'"
35,Missing punctuation,Website: www.resulam.com. Email: contact@resulam.com,"Add punctuation at the end, e.g., 'Website: www.resulam.com. Email: contact@resulam.com.'"
44,Missing punctuation,A propos de Resulam,"Add punctuation at the end, e.g., 'A propos de Resulam.'"
49,Missing punctuation,Site web: www.resulam.com. Email: contact@resulam.com,"Add punctuation at the end, e.g., 'Site web: www.resulam.com. Email: contact@resulam.com.'"
74,Missing punctuation,"En dehors de ce problème de prononciation, il y a aussi d'autres erreurs que nous commettons dans le parler quotidien. Ces erreurs sont parfois invétérées si bien que changer ces mauvaises habitudes nécessiteront beaucoup d'années. Pour ne citer que quelques exemples parmi tant d'autres, après consultation avec les experts en langue fè'éfě'è, mbɑ̄' Cə̀'lɑ̀'hwīē, mbɑ̄' Sadembouo et mbɑ̄' Ěmòò, il en ressort :","Add punctuation at the end, e.g., 'En dehors de ce problème de prononciation, il y a aussi d'autres erreurs que nous commettons dans le parler quotidien. Ces erreurs sont parfois invétérées si bien que changer ces mauvaises habitudes nécessiteront beaucoup d'années. Pour ne citer que quelques exemples parmi tant d'autres, après consultation avec les experts en langue fè'éfě'è, mbɑ̄' Cə̀'lɑ̀'hwīē, mbɑ̄' Sadembouo et mbɑ̄' Ěmòò, il en ressort :.'"
75,Missing punctuation,On dit plutôt làh et non nàh dans les expressions suivantes :,"Add punctuation at the end, e.g., 'On dit plutôt làh et non nàh dans les expressions suivantes :.'"
82,Missing punctuation,Introduction | Mbhìghə̀ə̀ | Introduction,"Add punctuation at the end, e.g., 'Introduction | Mbhìghə̀ə̀ | Introduction.'"
85,Missing punctuation,Ce guide de conversation trilingue Fe'efe'e-français-anglais (également appelé trilingual phrasebook en anglais) a été mis à jour par rapport à l'édition précédente. Les mises à jour comprennent :,"Add punctuation at the end, e.g., 'Ce guide de conversation trilingue Fe'efe'e-français-anglais (également appelé trilingual phrasebook en anglais) a été mis à jour par rapport à l'édition précédente. Les mises à jour comprennent :.'"
86,Missing capitalization,"- Remodelage des chapitres : Plusieurs chapitres jugés moins nécessaires (tels que les parties du corps) ont été remplacés par des chapitres de grammaire essentiels pour la communication quotidienne. Ces concepts grammaticaux incluent des phrases telles que ""J'ai déjà"", ""Je n'ai pas encore"", ""Je viens de"", ""Je n'ai jamais"", etc.","Capitalize the first letter: '- Remodelage des chapitres : Plusieurs chapitres jugés moins nécessaires (tels que les parties du corps) ont été remplacés par des chapitres de grammaire essentiels pour la communication quotidienne. Ces concepts grammaticaux incluent des phrases telles que ""J'ai déjà"", ""Je n'ai pas encore"", ""Je viens de"", ""Je n'ai jamais"", etc.'"
87,Missing capitalization,"- Ajout d'un chapitre sur la culture : Un nouveau chapitre a été ajouté à la fin du livre, comprenant un large éventail de vocabulaire culturel accompagné d'images pour illustrer les mots abstraits.","Capitalize the first letter: '- Ajout d'un chapitre sur la culture : Un nouveau chapitre a été ajouté à la fin du livre, comprenant un large éventail de vocabulaire culturel accompagné d'images pour illustrer les mots abstraits.'"
88,Missing capitalization,"- Amélioration du format : Le livre est maintenant présenté sous forme de texte coulant plutôt que de tableau, ce qui le rend beaucoup plus facile à lire.","Capitalize the first letter: '- Amélioration du format : Le livre est maintenant présenté sous forme de texte coulant plutôt que de tableau, ce qui le rend beaucoup plus facile à lire.'"
89,Missing capitalization,"- Taille portable : La version papier du livre a été réduite en taille et en dimensions, ce qui le rend facile à transporter comme livret de poche.","Capitalize the first letter: '- Taille portable : La version papier du livre a été réduite en taille et en dimensions, ce qui le rend facile à transporter comme livret de poche.'"
91,Missing capitalization,- L'ancienne version du livre ne sera plus en circulation.,Capitalize the first letter: '- L'ancienne version du livre ne sera plus en circulation.'
108,Missing punctuation,Alphabet phonétique des langues africaines,"Add punctuation at the end, e.g., 'Alphabet phonétique des langues africaines.'"
112,Missing punctuation,"Dans les langues africaines, les tonalités les plus remarquables sont :","Add punctuation at the end, e.g., 'Dans les langues africaines, les tonalités les plus remarquables sont :.'"
116,Missing punctuation,"Le ton montant (\/) : qui est une composition d’un ton bas suivi d’un ton haut, et représenté par un antiflexe, et","Add punctuation at the end, e.g., 'Le ton montant (\/) : qui est une composition d’un ton bas suivi d’un ton haut, et représenté par un antiflexe, et.'"
118,Missing punctuation,"L’ensemble des lettres et signes diacritiques tonales permettant d’écrire les langues africaines est appelé Alphabet Africain de Reference, et au Cameroun, on l’appelle Alphabet General des Langues Camerounaises (AGLC). Les principaux auteurs de ce chef d’œuvre étaient les professeurs Maurice Tadadjeu, et Etienne Sadembouo. Pour mieux illustrer l’AGLC, considérons la phrase : « il est venu. »","Add punctuation at the end, e.g., 'L’ensemble des lettres et signes diacritiques tonales permettant d’écrire les langues africaines est appelé Alphabet Africain de Reference, et au Cameroun, on l’appelle Alphabet General des Langues Camerounaises (AGLC). Les principaux auteurs de ce chef d’œuvre étaient les professeurs Maurice Tadadjeu, et Etienne Sadembouo. Pour mieux illustrer l’AGLC, considérons la phrase : « il est venu. ».'"
119,Missing punctuation,"En utilisant l’AGLC, on écrira à la","Add punctuation at the end, e.g., 'En utilisant l’AGLC, on écrira à la.'"
120,Missing capitalization,forme affirmative : íl ɛ̄ və̀nʉ̂ = il est venu.,Capitalize the first letter: 'Forme affirmative : íl ɛ̄ və̀nʉ̂ = il est venu.'
121,Missing capitalization,forme interrogative : íl ɛ̄ və̀nʉ̌ = il est venu?,Capitalize the first letter: 'Forme interrogative : íl ɛ̄ və̀nʉ̌ = il est venu?'
122,Missing capitalization,forme négative : íl nɛ̄ pā və̀nʉ̂ = il n’est pas venu.,Capitalize the first letter: 'Forme négative : íl nɛ̄ pā və̀nʉ̂ = il n’est pas venu.'
123,Missing capitalization,forme interronégative : nɛ̀ tíl pā və̀nʉ̌ ? = N’est-il pas venu ?,Capitalize the first letter: 'Forme interronégative : nɛ̀ tíl pā və̀nʉ̌ ? = N’est-il pas venu ?'
124,Missing punctuation,Pour dire « d’accord » sous,"Add punctuation at the end, e.g., 'Pour dire « d’accord » sous.'"
125,Missing capitalization,"forme de question, on dira dàkɔ̌r ?","Capitalize the first letter: 'Forme de question, on dira dàkɔ̌r ?'"
126,Missing capitalization,"forme affirmative, dàkɔ̂r.","Capitalize the first letter: 'Forme affirmative, dàkɔ̂r.'"
128,Missing punctuation,Tableau 3. Alphabet phonétique des langues africaines,"Add punctuation at the end, e.g., 'Tableau 3. Alphabet phonétique des langues africaines.'"
137,Missing punctuation,Les pronoms personnels,"Add punctuation at the end, e.g., 'Les pronoms personnels.'"
139,Missing punctuation,"En fe’efe’e, il existe plusieurs types de pronoms personnels :","Add punctuation at the end, e.g., 'En fe’efe’e, il existe plusieurs types de pronoms personnels :.'"
141,Missing punctuation,Examples :,"Add punctuation at the end, e.g., 'Examples :.'"
142,Missing punctuation,Ngɑ̌ mɑ̀nzɑ̄ njò' : je suis en train de manger la patate,"Add punctuation at the end, e.g., 'Ngɑ̌ mɑ̀nzɑ̄ njò' : je suis en train de manger la patate.'"
143,Missing punctuation,Ǹ sī mɑ̀nzɑ̄ njò' bɑ̄ : je ne suis pas en train de manger la patate,"Add punctuation at the end, e.g., 'Ǹ sī mɑ̀nzɑ̄ njò' bɑ̄ : je ne suis pas en train de manger la patate.'"
145,Missing punctuation,Ǎ mɑ̀mfāt mbìyā' : Il mange les arrachide,"Add punctuation at the end, e.g., 'Ǎ mɑ̀mfāt mbìyā' : Il mange les arrachide.'"
148,Missing punctuation,Les pronoms personnels compléments d'objet direct :,"Add punctuation at the end, e.g., 'Les pronoms personnels compléments d'objet direct :.'"
149,Missing capitalization,"ils sont utilisés pour remplacer un objet direct dans une phrase. On a : ā, ō, ī, yōh, yēē, yɑ̄ɑ̄. Il faut noter que ā, ō, ī sont souvent précédés par des consonnes qui ont été perdues avec l'évolution de la langue. Il s'agit des consonnes : b/l/m/n","Capitalize the first letter: 'Ils sont utilisés pour remplacer un objet direct dans une phrase. On a : ā, ō, ī, yōh, yēē, yɑ̄ɑ̄. Il faut noter que ā, ō, ī sont souvent précédés par des consonnes qui ont été perdues avec l'évolution de la langue. Il s'agit des consonnes : b/l/m/n'"
149,Missing punctuation,"ils sont utilisés pour remplacer un objet direct dans une phrase. On a : ā, ō, ī, yōh, yēē, yɑ̄ɑ̄. Il faut noter que ā, ō, ī sont souvent précédés par des consonnes qui ont été perdues avec l'évolution de la langue. Il s'agit des consonnes : b/l/m/n","Add punctuation at the end, e.g., 'ils sont utilisés pour remplacer un objet direct dans une phrase. On a : ā, ō, ī, yōh, yēē, yɑ̄ɑ̄. Il faut noter que ā, ō, ī sont souvent précédés par des consonnes qui ont été perdues avec l'évolution de la langue. Il s'agit des consonnes : b/l/m/n.'"
150,Missing punctuation,Exemple :,"Add punctuation at the end, e.g., 'Exemple :.'"
153,Missing punctuation,Ǎ yíí nā : il/elle m'a vu,"Add punctuation at the end, e.g., 'Ǎ yíí nā : il/elle m'a vu.'"
154,Missing punctuation,Ngɑ̌ lʉ́ʉ́ mī : je l'ai blessé,"Add punctuation at the end, e.g., 'Ngɑ̌ lʉ́ʉ́ mī : je l'ai blessé.'"
155,Missing punctuation,Ngɑ̌ lə́ə́ mī : je l'ai épousé,"Add punctuation at the end, e.g., 'Ngɑ̌ lə́ə́ mī : je l'ai épousé.'"
157,Missing punctuation,Ǹ kɑ̀' yīī yɑ̄ɑ̄ bɑ̄ : je ne les ai pas vus,"Add punctuation at the end, e.g., 'Ǹ kɑ̀' yīī yɑ̄ɑ̄ bɑ̄ : je ne les ai pas vus.'"
160,Missing punctuation,Exemple :,"Add punctuation at the end, e.g., 'Exemple :.'"
167,Missing punctuation,Exemple :,"Add punctuation at the end, e.g., 'Exemple :.'"
169,Missing punctuation,"Ǎ lén fà'á, yʉ̄ɑ̄ bɑ̄ ndēn fà'á : Il a dit comme ça, c'est lui qui a dit comme ça","Add punctuation at the end, e.g., 'Ǎ lén fà'á, yʉ̄ɑ̄ bɑ̄ ndēn fà'á : Il a dit comme ça, c'est lui qui a dit comme ça.'"
172,Missing punctuation,Exemple :,"Add punctuation at the end, e.g., 'Exemple :.'"
173,Missing punctuation,Ngɑ̌ sǒh nā à : je me suis lavé,"Add punctuation at the end, e.g., 'Ngɑ̌ sǒh nā à : je me suis lavé.'"
174,Missing punctuation,Ǎ yá' sǒh nā ì : il/elle s'est déjà lavé,"Add punctuation at the end, e.g., 'Ǎ yá' sǒh nā ì : il/elle s'est déjà lavé.'"
175,Missing punctuation,Pɑ̌h zǎb nā yòh nù nèhē : nous nous sommes battus pour rien,"Add punctuation at the end, e.g., 'Pɑ̌h zǎb nā yòh nù nèhē : nous nous sommes battus pour rien.'"
182,Missing punctuation,Notion élémentaire de conjugaison en langue fe’efe’e,"Add punctuation at the end, e.g., 'Notion élémentaire de conjugaison en langue fe’efe’e.'"
184,Missing punctuation,"Tableau 5. Présent (Mfūā: voler, to fly)","Add punctuation at the end, e.g., 'Tableau 5. Présent (Mfūā: voler, to fly).'"
204,Missing punctuation,Ghə̀ə̄ làh ncō,"Add punctuation at the end, e.g., 'Ghə̀ə̄ làh ncō.'"
213,Missing capitalization,www.resulam.com,Capitalize the first letter: 'Www.resulam.com'
213,Missing punctuation,www.resulam.com,"Add punctuation at the end, e.g., 'www.resulam.com.'"
228,Missing punctuation,Zēn zǎ mɑ́… | Je m'appelle … mon nom est… | My name is…,"Add punctuation at the end, e.g., 'Zēn zǎ mɑ́… | Je m'appelle … mon nom est… | My name is….'"
251,Missing punctuation,Pí | Et | And,"Add punctuation at the end, e.g., 'Pí | Et | And.'"
260,Missing punctuation,Nzēn yɑ̀ɑ́ mɑ́ … | Ils s'appellent … | Their name are …,"Add punctuation at the end, e.g., 'Nzēn yɑ̀ɑ́ mɑ́ … | Ils s'appellent … | Their name are ….'"
320,Missing punctuation,Ǒ ghʉ̌ mbǔ'nkěn ? | Avez-vous une radio? (A une seule personne) | Do you have a radio? (To one person),"Add punctuation at the end, e.g., 'Ǒ ghʉ̌ mbǔ'nkěn ? | Avez-vous une radio? (A une seule personne) | Do you have a radio? (To one person).'"
343,Contains 'red' text,Ǹ kɑ̀' ghʉ́ sə̀ə̄ wúpíéndɑ̀h. | Je n'ai aucun loisir/hobby. | I have no leisure/hobby.,Remove red formatting or standardize color.
365,Contains 'red' text,Yò túmfɑ̌' mɑ́ kɑ́ ? | Quelle est ta profession ? | What is your profession?,Remove red formatting or standardize color.
374,Contains 'red' text,Yàā ntīē wúzɑ̄ tɑ́ ó zhī làh ndə̄ə̄ ə̄ ? | Quel genre de plat sais-tu cuisiner ? | What kind of food do you cook?,Remove red formatting or standardize color.
391,Missing capitalization,"ndʉ̄ɑ̀ sì cɑ̀’sì lɑ̀píé. Ò yéé mēmmɑ̄ è, ǒ sì táh sì lēn mbú í mɑ́ mbə̄ə̄ lɑ́ mēmmɑ̄ ò, nzɑ́ lēē è sēn à ? Ǒ vɑ́h yō ò mɑ̄ ? Ǒ ìndī’ měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ncɑ́’sí wèn. | Sans les salutations, la cohésion familiale disparaît. À la fin de ce chapitre, vous serez en mesure de saluer les gens correctement en langue fè’éfě’è. | Without greetings, family cohesion disappears. By the end of this chapter, you will be able to greet people correctly in the Fè’éfě’è language.","Capitalize the first letter: 'Ndʉ̄ɑ̀ sì cɑ̀’sì lɑ̀píé. Ò yéé mēmmɑ̄ è, ǒ sì táh sì lēn mbú í mɑ́ mbə̄ə̄ lɑ́ mēmmɑ̄ ò, nzɑ́ lēē è sēn à ? Ǒ vɑ́h yō ò mɑ̄ ? Ǒ ìndī’ měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ncɑ́’sí wèn. | Sans les salutations, la cohésion familiale disparaît. À la fin de ce chapitre, vous serez en mesure de saluer les gens correctement en langue fè’éfě’è. | Without greetings, family cohesion disappears. By the end of this chapter, you will be able to greet people correctly in the Fè’éfě’è language.'"
400,Missing capitalization,pɑ̌h pén yēē. | Nous vous remercions. | We thank you (to many people).,Capitalize the first letter: 'Pɑ̌h pén yēē. | Nous vous remercions. | We thank you (to many people).'
402,Missing punctuation,Yáá lēē zǐ. Ǎ léé yī. | Bonjour ! (Réponse au bonjour) | Good morning! (Answer to good morning),"Add punctuation at the end, e.g., 'Yáá lēē zǐ. Ǎ léé yī. | Bonjour ! (Réponse au bonjour) | Good morning! (Answer to good morning).'"
403,Contains 'red' text,Nzɑ́ lēē mbú ò ? Yò nzɑ́ lēē è ? | Bonjour à toi ! | Good morning to you!,Remove red formatting or standardize color.
405,Missing punctuation,Yáá lēē zǐ. Ǎ léé yī. Yòh nzɑ́ lēē. | Bonjour ! (Réponse au bonjour quand plusieurs personnes répondent.) | Good morning! (Answer to good morning when many people reply.),"Add punctuation at the end, e.g., 'Yáá lēē zǐ. Ǎ léé yī. Yòh nzɑ́ lēē. | Bonjour ! (Réponse au bonjour quand plusieurs personnes répondent.) | Good morning! (Answer to good morning when many people reply.).'"
407,Missing punctuation,Yáá lēē zǐ ndū à. | Bonjour mon mari. (Réponse au bonjour. Une femme à son mari.) | Good morning my husband. (Answer to good morning. A wife to her husband.),"Add punctuation at the end, e.g., 'Yáá lēē zǐ ndū à. | Bonjour mon mari. (Réponse au bonjour. Une femme à son mari.) | Good morning my husband. (Answer to good morning. A wife to her husband.).'"
438,Missing punctuation,Pěn mɑ̀ lāhā ? | Comment allez-vous ? (À plusieurs personnes) | How are you doing? (To many people),"Add punctuation at the end, e.g., 'Pěn mɑ̀ lāhā ? | Comment allez-vous ? (À plusieurs personnes) | How are you doing? (To many people).'"
444,Missing punctuation,"Yáá yǐ fà'á lɑ́. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.] | So-so, not too bad. [Lit. it is just there like that]","Add punctuation at the end, e.g., 'Yáá yǐ fà'á lɑ́. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.] | So-so, not too bad. [Lit. it is just there like that].'"
445,Missing punctuation,"Mǒ' ghɑ̀' nù kɑ̀' tōm. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.] | So-so, not too bad. [Lit. something serious did not happen.]","Add punctuation at the end, e.g., 'Mǒ' ghɑ̀' nù kɑ̀' tōm. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.] | So-so, not too bad. [Lit. something serious did not happen.].'"
446,Missing punctuation,"Wěn mɑ̀ntāmsīē mɑ̄ndó. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.] | So-so, not too bad. [Lit. we fall and get up.]","Add punctuation at the end, e.g., 'Wěn mɑ̀ntāmsīē mɑ̄ndó. | Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.] | So-so, not too bad. [Lit. we fall and get up.].'"
451,Missing punctuation,Pɑ̌h vɑ́h yǒh. | Bonsoir ! [Réponse à pěn vɑ́h yēē è ?] | Good evening! [Answer to pěn vɑ́h yēē è?],"Add punctuation at the end, e.g., 'Pɑ̌h vɑ́h yǒh. | Bonsoir ! [Réponse à pěn vɑ́h yēē è ?] | Good evening! [Answer to pěn vɑ́h yēē è?].'"
457,Missing punctuation,Pèn sɑ́' mbə̀pə̄'/pə̀pē’ ! | Soyez les bienvenus ! [A plusieurs personnes] | Welcome! [To many people],"Add punctuation at the end, e.g., 'Pèn sɑ́' mbə̀pə̄'/pə̀pē’ ! | Soyez les bienvenus ! [A plusieurs personnes] | Welcome! [To many people].'"
458,Missing punctuation,Tɑ̀ pěn còh nnák pə̀pē' è/mbə̀pə̄' ə̀ ? | Vous avez fait bonne route ? [A plusieurs personnes] | Did you have a good journey? (To many people),"Add punctuation at the end, e.g., 'Tɑ̀ pěn còh nnák pə̀pē' è/mbə̀pə̄' ə̀ ? | Vous avez fait bonne route ? [A plusieurs personnes] | Did you have a good journey? (To many people).'"
467,Missing punctuation,Tɑ̀ mêndɑ̀' lɑ́ ! | A bientôt ! [Réponse] | See you later! [Response],"Add punctuation at the end, e.g., 'Tɑ̀ mêndɑ̀' lɑ́ ! | A bientôt ! [Réponse] | See you later! [Response].'"
469,Missing punctuation,Tɑ̀ mbūànzɑ̄ lɑ́. | A ce soir. [Réponse] | See you tonight. [Response],"Add punctuation at the end, e.g., 'Tɑ̀ mbūànzɑ̄ lɑ́. | A ce soir. [Réponse] | See you tonight. [Response].'"
471,Missing punctuation,Tɑ̀ wāhà lɑ́ ! ɑ́ nzɑ̄ lēē lɑ́. | A demain ! [Réponse] | See you tomorrow! [Response],"Add punctuation at the end, e.g., 'Tɑ̀ wāhà lɑ́ ! ɑ́ nzɑ̄ lēē lɑ́. | A demain ! [Réponse] | See you tomorrow! [Response].'"
472,Missing punctuation,"Pɑ̀h pát njīīsī sēnɑ̄ ɑ̄ ? | A quand, le prochain rendez-vous ? | When is the next appointment","Add punctuation at the end, e.g., 'Pɑ̀h pát njīīsī sēnɑ̄ ɑ̄ ? | A quand, le prochain rendez-vous ? | When is the next appointment.'"
474,Contains 'red' text,Tɑ̀ mó' līē' (lɑ́ mbɑ̀) ! | A la prochaine ! | See you next time.,Remove red formatting or standardize color.
475,Missing capitalization,"tɑ̀ mó' līē' lɑ́, yì mɑ̀ Síé pēn lɑ́. | A la prochaine, si Dieu le veut. | See you next time, God willing.","Capitalize the first letter: 'Tɑ̀ mó' līē' lɑ́, yì mɑ̀ Síé pēn lɑ́. | A la prochaine, si Dieu le veut. | See you next time, God willing.'"
480,Missing capitalization,ɑ́ yēē pí Nshʉ̀ɑ̀pʉ̀ Sīē nák. ɑ́ Nshʉ̀ɑ̀pʉ̀ Sīē nák pí wò. | Que Dieu t'accompagne. | May God lead and guide you.,Capitalize the first letter: 'Ɑ́ yēē pí Nshʉ̀ɑ̀pʉ̀ Sīē nák. ɑ́ Nshʉ̀ɑ̀pʉ̀ Sīē nák pí wò. | Que Dieu t'accompagne. | May God lead and guide you.'
481,Missing capitalization,ɑ́ yēē píá pɑ̀mfhʉ́sīē nák. | Que les ancêtres t'accompagnent. | May the ancestors be with you.,Capitalize the first letter: 'Ɑ́ yēē píá pɑ̀mfhʉ́sīē nák. | Que les ancêtres t'accompagnent. | May the ancestors be with you.'
504,Missing capitalization,wɑ̄ bɑ́ mɑ̀njwáásí ī ? | Qui fait du bruit ? | Who is making noise?,Capitalize the first letter: 'Wɑ̄ bɑ́ mɑ̀njwáásí ī ? | Qui fait du bruit ? | Who is making noise?'
517,Missing punctuation,Pí wɑ̄ lī ? | Avec qui (quand c’est la 2ème fois qu’on pose la question) ? | Whom with? With whom? (When it is the 2nd time the question has been asked),"Add punctuation at the end, e.g., 'Pí wɑ̄ lī ? | Avec qui (quand c’est la 2ème fois qu’on pose la question) ? | Whom with? With whom? (When it is the 2nd time the question has been asked).'"
545,Missing punctuation,Wɑ̄ béè ? | Qui est-ce ? [En pointant quelqu'un près de moi] | Who is this? [Pointing at someone near me],"Add punctuation at the end, e.g., 'Wɑ̄ béè ? | Qui est-ce ? [En pointant quelqu'un près de moi] | Who is this? [Pointing at someone near me].'"
546,Missing punctuation,Wɑ̄ báá ā ? | Qui est-ce ? [En pointant quelqu'un près de celui à qui on parle.] | Who is this? [Pointing someone near the person you're talking to.],"Add punctuation at the end, e.g., 'Wɑ̄ báá ā ? | Qui est-ce ? [En pointant quelqu'un près de celui à qui on parle.] | Who is this? [Pointing someone near the person you're talking to.].'"
547,Missing punctuation,Wɑ̄ bíì ? | Qui est-ce ? [En pointant quelqu'un loin de ceux qui parlent.] | Who is this? [Pointing someone far from those who speak.],"Add punctuation at the end, e.g., 'Wɑ̄ bíì ? | Qui est-ce ? [En pointant quelqu'un loin de ceux qui parlent.] | Who is this? [Pointing someone far from those who speak.].'"
572,Missing punctuation,Ngɑ̌ (mɑ̀)ngén mɑ̀ … | Je vais à (au) … | I am going to (the) …,"Add punctuation at the end, e.g., 'Ngɑ̌ (mɑ̀)ngén mɑ̀ … | Je vais à (au) … | I am going to (the) ….'"
699,Missing punctuation,Pó nsī mɑ̀ hɑ̄ lī ? | Où habitent-ils (quand c’est la 2ème fois qu’on pose la question) ? | Where do they live? (When it is the 2nd time the question has been asked),"Add punctuation at the end, e.g., 'Pó nsī mɑ̀ hɑ̄ lī ? | Où habitent-ils (quand c’est la 2ème fois qu’on pose la question) ? | Where do they live? (When it is the 2nd time the question has been asked).'"
792,Missing punctuation,"Mɑ̂nsì, ndū, mēndū. | Ma belle-sœur. [C'est l'épouse qui parle] | My sister-in-law. [Wife is speaking]","Add punctuation at the end, e.g., 'Mɑ̂nsì, ndū, mēndū. | Ma belle-sœur. [C'est l'épouse qui parle] | My sister-in-law. [Wife is speaking].'"
793,Missing punctuation,"Mɑ̂nsǐ ǎ mɑ̀ngóó, nzhwīē á mɑ̀ngóó. | Ma belle-sœur est malade. [C'est l'époux qui parle] | My sister-in-law is sick. [Husband is speaking]","Add punctuation at the end, e.g., 'Mɑ̂nsǐ ǎ mɑ̀ngóó, nzhwīē á mɑ̀ngóó. | Ma belle-sœur est malade. [C'est l'époux qui parle] | My sister-in-law is sick. [Husband is speaking].'"
795,Missing punctuation,Mbɑ̂'ndū á nkwé' ā tɑ̀ shʉ̄ɑ̀. Ndū ā ndāmɑ̌ nkə́' ā tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄. | Mon Beau-père m'aime beaucoup. [L'épouse parle] | My father-in-law loves me a lot. [Wife is speaking],"Add punctuation at the end, e.g., 'Mbɑ̂'ndū á nkwé' ā tɑ̀ shʉ̄ɑ̀. Ndū ā ndāmɑ̌ nkə́' ā tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄. | Mon Beau-père m'aime beaucoup. [L'épouse parle] | My father-in-law loves me a lot. [Wife is speaking].'"
796,Missing punctuation,Mbɑ̂'nzhwīē í (Ndômsǐ í) hɑ̄ sípè'é mbú í. | Son beau-père lui a donné une portion de terrain. [On parle d'un homme] | His wife's father gave him a plot. [Speaking of a man],"Add punctuation at the end, e.g., 'Mbɑ̂'nzhwīē í (Ndômsǐ í) hɑ̄ sípè'é mbú í. | Son beau-père lui a donné une portion de terrain. [On parle d'un homme] | His wife's father gave him a plot. [Speaking of a man].'"
